title,id,author,editor,advisor,note,,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
A Domain-specific Language for Microservices,3241654,Jacob  Donham,,,,,2--12,,11,Scala; microservices,10.1145/3241653.3241654,,,,,,,2018,,Proceedings of the 9th ACM SIGPLAN International Symposium on Scala,Scala 2018,,978-1-4503-5836-1,St. Louis; MO; USA,ACM,New York; NY; USA
Learning-Based Testing of Distributed Microservice Architectures: Correctness and Fault Injection,3082004,Karl  Meinke and Peter  Nycander,,,,,3--10,,8,Automated test case generation; Fault injection; Learning-based testing; Microservice; Requirements testing; Robustness testing,10.1007/978-3-662-49224-6_1,,,,,,,2015,,Revised Selected Papers of the SEFM 2015 Collocated Workshops on Software Engineering and Formal Methods - Volume 9509,,,978-3-662-49223-9,,Springer-Verlag New York; Inc.,New York; NY; USA
Location and Context-Based Microservices for Mobile and Internet of Things Workloads,2865821,Peter  Bak and Roie  Melamed and Dany  Moshkovich and Yuval  Nardi and Harold  Ship and Avi  Yaeli,,,,,1--8,,8,location-based services; context-based services; maps; triggers; anomaly detection; IoT; microservices,10.1109/MobServ.2015.11,,,,,,,2015,,Proceedings of the 2015 IEEE International Conference on Mobile Services,MS '15,,978-1-4673-7284-8,,IEEE Computer Society,Washington; DC; USA
MAGMA: Build Management-based Generation of Microservice Infrastructures,3129821,Philip  Wizenty and Jonas  Sorgalla and Florian  Rademacher and Sabine  Sachweh,,,,,61--65,,5,build management; infrastructure generation; microservices,10.1145/3129790.3129821,,,,,,,2017,,Proceedings of the 11th European Conference on Software Architecture: Companion Proceedings,ECSA '17,,978-1-4503-5217-8,Canterbury; United Kingdom,ACM,New York; NY; USA
Decision Guidance Models for Microservices: Service Discovery and Fault Tolerance,3123804,Stefan  Haselb&#246;ck and Rainer  Weinreich and Georg  Buchgeher,,,,,4:1--4:10,4,10,decision guidance models; design decisions; microservices; software architecture; technical action research (TAR),10.1145/3123779.3123804,,,,,,,2017,,Proceedings of the Fifth European Conference on the Engineering of Computer-Based Systems,ECBS '17,,978-1-4503-4843-0,Larnaca; Cyprus,ACM,New York; NY; USA
Towards Digital Twins Cloud Platform: Microservices and Computational Workflows to Rule a Smart Factory,3149234,Kirill  Borodulin and Gleb  Radchenko and Aleksandr  Shestakov and Leonid  Sokolinsky and Andrey  Tchernykh and Radu  Prodan,,,,,209--210,,2,cloud computing; container-as-a-service; digital twin; digital twin-as-a-service; industry 4.0; microservice; platform-as-a-service; smart manufacturing; software-as-a-service; workflow,10.1145/3147213.3149234,,,,,,,2017,,Proceedings of the10th International Conference on Utility and Cloud Computing,UCC '17,,978-1-4503-5149-2,Austin; Texas; USA,ACM,New York; NY; USA
Scalable Microservice Based Architecture for Enabling DMTF Profiles,2879048,Divyanand  Malavalli and Sivakumar  Sathappan,,,,,428--432,,5,,10.1109/CNSM.2015.7367395,,,,,,,2015,,Proceedings of the 2015 11th International Conference on Network and Service Management (CNSM),CNSM '15,,978-3-9018-8277-7,,IEEE Computer Society,Washington; DC; USA
Designing a Smart City Internet of Things Platform with Microservice Architecture,2861135,Alexandr  Krylovskiy and Marco  Jahn and Edoardo  Patti,,,,,25--30,,6,,10.1109/FiCloud.2015.55,,,,,,,2015,,Proceedings of the 2015 3rd International Conference on Future Internet of Things and Cloud,FICLOUD '15,,978-1-4673-8103-1,,IEEE Computer Society,Washington; DC; USA
App-Bisect: Autonomous Healing for Microservice-based Apps,2827735,Shriram  Rajagopalan and Hani  Jamjoom,,,,,16--16,,1,,,,,,,,,2015,,Proceedings of the 7th USENIX Conference on Hot Topics in Cloud Computing,HotCloud'15,,,Santa Clara; CA,USENIX Association,Berkeley; CA; USA
High-Assurance Synthesis of Security Services from Basic Microservices,952372,Sung  Kim and Farokh B. Bastani and I-Ling  Yen and Ing-Ray  Chen,,,,,154--,,,Software composition; Software architecture; Security service; Microservices,,,,,,,,2003,,Proceedings of the 14th International Symposium on Software Reliability Engineering,ISSRE '03,,0-7695-2007-3,,IEEE Computer Society,Washington; DC; USA
Disambiguation and Comparison of SOA; Microservices and Self-Contained Systems,3129682,Tomas  Cerny and Michael J. Donahoo and Jiri  Pechanec,,,,,228--235,,8,Architectures; Microservices; SOA; Self-contained Systems,10.1145/3129676.3129682,,,,,,,2017,,Proceedings of the International Conference on Research in Adaptive and Convergent Systems,RACS '17,,978-1-4503-5027-3,Krakow; Poland,ACM,New York; NY; USA
Towards Dynamic Tenant Management for Microservice Based Multi-Tenant SaaS Applications,3172882,Sumit  Kalra and T. V. Prabhakar,,,,,12:1--12:5,12,5,Cloud computing; Micro service; Multi-tenant; Tenant management,10.1145/3172871.3172882,,,,,,,2018,,Proceedings of the 11th Innovations in Software Engineering Conference,ISEC '18,,978-1-4503-6398-3,Hyderabad; India,ACM,New York; NY; USA
Research for Practice: Distributed Consensus and Implications of NVM on Database Management Systems,2967618,Peter  Bailis and Camille  Fournier and Joy  Arulraj and Andy  Pavlo,,,,,40:53--40:67,40,15,,10.1145/2956641.2967618,Queue,May-June 2016,14,3,,May,2016,1542-7730,,,,,,ACM,New York; NY; USA
Microservice Based Tool Support for Business Process Modelling,2861055,Sascha  Alpers and Christoph  Becker and Andreas  Oberweis and Thomas  Schuster,,,,,71--78,,8,microservice; business process; modelling; architecture,10.1109/EDOCW.2015.32,,,,,,,2015,,Proceedings of the 2015 IEEE 19th International Enterprise Distributed Object Computing Workshop,EDOCW '15,,978-1-4673-9331-7,,IEEE Computer Society,Washington; DC; USA
Resource Optimization of Container Orchestration: A Case Study in Multi-cloud Microservices-based Applications,3239138,Carlos  Guerrero and Isaac  Lera and Carlos  Juiz,,,,,2956--2983,,28,Cloud computing; Container orchestration; Genetic algorithm; Microservices; Multi-objective optimization,10.1007/s11227-018-2345-2,J. Supercomput.,18-Jul,74,7,,July,2018,0920-8542,,,,,,Kluwer Academic Publishers,Norwell; MA; USA
U-RPC: A Protocol for Microservices in DHT,3155198,Gil  Utard and Hung-Cuong  Le and Trung-Thanh  Tran,,,,,317--324,,8,,10.1145/3155133.3155198,,,,,,,2017,,Proceedings of the Eighth International Symposium on Information and Communication Technology,SoICT 2017,,978-1-4503-5328-1,Nha Trang City; Viet Nam,ACM,New York; NY; USA
Dynamic Weight Based Load Balancing for Microservice Cluster,3277955,Chang  Yi and Xiuguo  Zhang and Wei  Cao,,,,,2:1--2:7,2,7,Microservice; algorithm; dynamic weight; load balancing; server cluster,10.1145/3207677.3277955,,,,,,,2018,,Proceedings of the 2Nd International Conference on Computer Science and Application Engineering,CSAE '18,,978-1-4503-6512-3,Hohhot; China,ACM,New York; NY; USA
Performance Evaluation of Microservices Architectures Using Containers,2923598,Marcelo  Amaral and Jorda  Polo and David  Carrera and Iqbal  Mohomed and Merve  Unuvar and Malgorzata  Steinder,,,,,27--34,,8,,10.1109/NCA.2015.49,,,,,,,2015,,Proceedings of the 2015 IEEE 14th International Symposium on Network Computing and Applications (NCA),NCA '15,,978-1-5090-1849-9,,IEEE Computer Society,Washington; DC; USA
Benchmark Requirements for Microservices Architecture Research,3101285,Carlos M. Aderaldo and Nabor C. Mendon&#231;a and Claus  Pahl and Pooyan  Jamshidi,,,,,8--13,,6,microservices; research benchmark; software architecture,10.1109/ECASE.2017..4,,,,,,,2017,,Proceedings of the 1st International Workshop on Establishing the Community-Wide Infrastructure for Architecture-Based Software Engineering,ECASE '17,,978-1-5386-0417-5,Buenos Aires; Argentina,IEEE Press,Piscataway; NJ; USA
Publishing Linked Data Through Semantic Microservices Composition,3011155,Ivan  Salvadori and Alexis  Huf and Ronaldo dos Santos Mello and Frank  Siqueira,,,,,443--452,,10,composition; linked data; microservices,10.1145/3011141.3011155,,,,,,,2016,,Proceedings of the 18th International Conference on Information Integration and Web-based Applications and Services,iiWAS '16,,978-1-4503-4807-2,Singapore; Singapore,ACM,New York; NY; USA
Case Study: Microservice Evolution and Software Lifecycle of the XSEDE User Portal API,2949655,Walter  Scarborough and Carrie  Arnold and Maytal  Dahan,,,,,47:1--47:5,47,5,API; Microservices; XSEDE User Portal,10.1145/2949550.2949655,,,,,,,2016,,Proceedings of the XSEDE16 Conference on Diversity; Big Data; and Science at Scale,XSEDE16,,978-1-4503-4755-6,Miami; USA,ACM,New York; NY; USA
An Application of Microservices Architecture Pattern to Create a Modular Computer Numerical Control System,3180001,Maxim  Afanasev and Yuri  Fedosov and Anastasiya  Krylova and Sergey  Shorokhov,,,,,2:10--2:19,2,10,computer numerical control; cyber-physical system; distributed control system; internet of things; message queue; microservice architecture; nosql; service oriented architecture,10.23919/FRUCT.2017.8071286,,,,,,,2017,,Proceedings of the 20th Conference of Open Innovations Association FRUCT,FRUCT'20,,,Saint-Petersburg; Russia,FRUCT Oy,Helsinki; Finland; Finland
Modelling and Managing Deployment Costs of Microservice-based Cloud Applications,2996901,Philipp  Leitner and J&#252;rgen  Cito and Emanuel  St&#246;ckli,,,,,165--174,,10,,10.1145/2996890.2996901,,,,,,,2016,,Proceedings of the 9th International Conference on Utility and Cloud Computing,UCC '16,,978-1-4503-4616-0,Shanghai; China,ACM,New York; NY; USA
Hands-on: Build and Package a Highly Scalable Microservice Application Using Docker Containers,3049914,Serjik  Dikaleh and Salman  Moghal and Ozair  Sheikh and Chris  Felix and Dharmesh  Mistry,,,,,294--296,,3,,,,,,,,,2016,,Proceedings of the 26th Annual International Conference on Computer Science and Software Engineering,CASCON '16,,,Toronto; Ontario; Canada,IBM Corp.,Riverton; NJ; USA
From the Decorator Pattern to Circuit Breakers in Microservices,3167427,Fabrizio  Montesi and Janine  Weber,,,,,1733--1735,,3,circuit breaker; decorator pattern; microservices,10.1145/3167132.3167427,,,,,,,2018,,Proceedings of the 33rd Annual ACM Symposium on Applied Computing,SAC '18,,978-1-4503-5191-1,Pau; France,ACM,New York; NY; USA
A Framework for Evaluating Continuous Microservice Delivery Strategies,3018961,Martin  Lehmann and Frode Eika Sandnes,,,,,64:1--64:9,64,9,cloud computing; continuous deployment; deployment strategy; evaluation framework; microservice architectures; microservices,10.1145/3018896.3018961,,,,,,,2017,,Proceedings of the Second International Conference on Internet of Things; Data and Cloud Computing,ICC '17,,978-1-4503-4774-7,Cambridge; United Kingdom,ACM,New York; NY; USA
Model-driven Generation of Microservice Architectures for Benchmarking Performance and Resilience Engineering Approaches,3053627,Thomas F. D&#252;llmann and Andr&#233;  van Hoorn,,,,,171--172,,2,benchmarking; microservice architecture; model-driven generation; software performance; software resilience,10.1145/3053600.3053627,,,,,,,2017,,Proceedings of the 8th ACM/SPEC on International Conference on Performance Engineering Companion,ICPE '17 Companion,,978-1-4503-4899-7,L'Aquila; Italy,ACM,New York; NY; USA
Expose RESTful Microservices Using OpenAPI; WebSphere Liberty and IBM Cloud,3172839,Leo Christy Jesuraj and Arthur  De Magalhaes,,,,,309--309,,1,,,,,,,,,2017,,Proceedings of the 27th Annual International Conference on Computer Science and Software Engineering,CASCON '17,,,Markham; Ontario; Canada,IBM Corp.,Riverton; NJ; USA
Sustaining Runtime Performance While Incrementally Modernizing Transactional Monolithic Software Towards Microservices,2892039,Holger  Knoche,,,,,121--124,,4,microservices; software modernization,10.1145/2851553.2892039,,,,,,,2016,,Proceedings of the 7th ACM/SPEC on International Conference on Performance Engineering,ICPE '16,,978-1-4503-4080-9,Delft; The Netherlands,ACM,New York; NY; USA
Asynchronous Queue Based Approach for Building Reactive Microservices,3126873,Jonathan  Brilhante and Rostand  Costa and Tiago  Maritan,,,,,373--380,,8,asynchronous queues; micro services; reactive approach; refactoring,10.1145/3126858.3126873,,,,,,,2017,,Proceedings of the 23rd Brazillian Symposium on Multimedia and the Web,WebMedia '17,,978-1-4503-5096-9,Gramado; RS; Brazil,ACM,New York; NY; USA
Investigating Performance Metrics for Scaling Microservices in CloudIoT-Environments,3184430,Manuel  Gotin and Felix  L&#246;sch and Robert  Heinrich and Ralf  Reussner,,,,,157--167,,11,auto-scaler; cloud computing; internet of things (IoT); message queues; microservices; performance; performance metrics; threshold-based rules,10.1145/3184407.3184430,,,,,,,2018,,Proceedings of the 2018 ACM/SPEC International Conference on Performance Engineering,ICPE '18,,978-1-4503-5095-2,Berlin; Germany,ACM,New York; NY; USA
Cost Comparison of Running Web Applications in the Cloud Using Monolithic; Microservice; and AWS Lambda Architectures,3095532,Mario  Villamizar and Oscar  Garc&#233;s and Lina  Ochoa and Harold  Castro and Lorena  Salamanca and Mauricio  Verano and Rubby  Casallas and Santiago  Gil and Carlos  Valencia and Angee  Zambrano and Mery  Lang,,,,,233--247,,15,AWS Lambda; Amazon Web Services; Cloud computing; Microservice architecture; Microservices; Scalable applications; Serverless architectures; Service-oriented architectures; Software architecture; Software engineering,10.1007/s11761-017-0208-y,Serv. Oriented Comput. Appl.,17-Jun,11,2,,June,2017,1863-2386,,,,,,Springer-Verlag New York; Inc.,Secaucus; NJ; USA
A Reusable Automated Acceptance Testing Architecture for Microservices in Behavior-Driven Development,2867492,Mazedur  Rahman and Jerry  Gao,,,,,321--325,,5,Gherkin; behavior-driven development; executable automated acceptance testing; functional testing; microservice,10.1109/SOSE.2015.55,,,,,,,2015,,Proceedings of the 2015 IEEE Symposium on Service-Oriented System Engineering,SOSE '15,,978-1-4799-8356-8,,IEEE Computer Society,Washington; DC; USA
Microservices in the Modern Software World,3049915,Anthony  Kwan and Hans-Arno  Jacobsen and Allen  Chan and Suzette  Samoojh,,,,,297--299,,3,,,,,,,,,2016,,Proceedings of the 26th Annual International Conference on Computer Science and Software Engineering,CASCON '16,,,Toronto; Ontario; Canada,IBM Corp.,Riverton; NJ; USA
An Experience Report on the Adoption of Microservices in Three Brazilian Government Institutions,3266262,Welder  Luz and Everton  Agilar and Marcos C&#233;sar de Oliveira and Carlos Eduardo R. de Melo and Gustavo  Pinto and Rodrigo  Bonif&#225;cio,,,,,32--41,,10,experience report; lessons learned; microservice applications; monolithic applications,10.1145/3266237.3266262,,,,,,,2018,,Proceedings of the XXXII Brazilian Symposium on Software Engineering,SBES '18,,978-1-4503-6503-1,Sao Carlos; Brazil,ACM,New York; NY; USA
Exploration of Academic and Industrial Evidence About Architectural Tactics and Patterns in Microservices,3194958,Felipe  Osses and Gast&#243;n  M&#225;rquez and Hern&#225;n  Astudillo,,,,,256--257,,2,academy; architectural patterns; architectural tactics; industry; microservices; systematic literature review; taxonomy,10.1145/3183440.3194958,,,,,,,2018,,Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings,ICSE '18,,978-1-4503-5663-3,Gothenburg; Sweden,ACM,New York; NY; USA
Increasing the Dependability of IoT Middleware with Cloud Computing and Microservices,3148092,Lucas M. C. e Martins and Francisco L. de Caldas Filho and Rafael T. de Sousa J&#250;nior and William F. Giozza and Jo&#227;o Paulo C.L. da Costa,,,,,203--208,,6,cloud computing; dependability; internet of things (iot); microservices; middleware; soa.,10.1145/3147234.3148092,,,,,,,2017,,Companion Proceedings of the10th International Conference on Utility and Cloud Computing,UCC '17 Companion,,978-1-4503-5195-9,Austin; Texas; USA,ACM,New York; NY; USA
Guidelines for Adopting Frontend Architectures and Patterns in Microservices-based Systems,3117775,Holger  Harms and Collin  Rogowski and Luigi  Lo Iacono,,,,,902--907,,6,Design patterns; Frontend architecture; Microservices,10.1145/3106237.3117775,,,,,,,2017,,Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,ESEC/FSE 2017,,978-1-4503-5105-8,Paderborn; Germany,ACM,New York; NY; USA
A Reference Architecture for Real-time Microservice API Consumption,2904115,Cristian  Gadea and Mircea  Trifan and Dan  Ionescu and Bogdan  Ionescu,,,,,2:1--2:6,2,6,cloud computing; collaborative editing; docker; microservices; named entity recognition; real-time web,10.1145/2904111.2904115,,,,,,,2016,,Proceedings of the 3rd Workshop on CrossCloud Infrastructures & Platforms,CrossCloud '16,,978-1-4503-4294-0,London; United Kingdom,ACM,New York; NY; USA
Experience on a Microservice-Based Reference Architecture for Measurement Systems,2758019,Matthias  Vianden and Horst  Lichter and Andreas  Steffens,,,,,183--190,,8,Reference Architecture; Microservice; SOA; Field Study; Measurement System,10.1109/APSEC.2014.37,,,,,,,2014,,Proceedings of the 2014 21st Asia-Pacific Software Engineering Conference - Volume 01,APSEC '14,,978-1-4799-7426-9,,IEEE Computer Society,Washington; DC; USA
Security-as-a-Service for Microservices-Based Cloud Applications,2916753,Yuqiong  Sun and Susanta  Nanda and Trent  Jaeger,,,,,50--57,,8,,10.1109/CloudCom.2015.93,,,,,,,2015,,Proceedings of the 2015 IEEE 7th International Conference on Cloud Computing Technology and Science (CloudCom),CLOUDCOM '15,,978-1-4673-9560-1,,IEEE Computer Society,Washington; DC; USA
A Service-in-the-loop Approach for Business Process Simulation Based on Microservices,3275406,Paolo  Bocciarelli and Andrea  D'Ambrogio and Emiliano  Paglia and Andrea  Giglio,,,,,24:1--24:12,24,12,BPMN; MSaaS; hybrid simulation; microservices; model-driven,,,,,,,,2018,,Proceedings of the 50th Computer Simulation Conference,SummerSim '18,,,Bordeaux; France,Society for Computer Simulation International,San Diego; CA; USA
Application of Mobile Agent Technology to Microservice Architecture,3151840,Masayuki  Higashino,,,,,526--529,,4,microservice; mobile agent; web service,10.1145/3151759.3151840,,,,,,,2017,,Proceedings of the 19th International Conference on Information Integration and Web-based Applications & Services,iiWAS '17,,978-1-4503-5299-4,Salzburg; Austria,ACM,New York; NY; USA
Generality vs. Reusability in Architecture-based Self-adaptation: The Case for Self-adaptive Microservices,3241423,Nabor C. Mendon&#231;a and David  Garlan and Bradley  Schmerl and Javier  C&#225;mara,,,,,18:1--18:6,18,6,microservices; self-adaptation; service mesh,10.1145/3241403.3241423,,,,,,,2018,,Proceedings of the 12th European Conference on Software Architecture: Companion Proceedings,ECSA '18,,978-1-4503-6483-6,Madrid; Spain,ACM,New York; NY; USA
An Architecture to Automate Performance Tests on Microservices,3011179,Andr&#233;  de Camargo and Ivan  Salvadori and Ronaldo dos Santos Mello and Frank  Siqueira,,,,,422--429,,8,microservices; performance test; test automation,10.1145/3011141.3011179,,,,,,,2016,,Proceedings of the 18th International Conference on Information Integration and Web-based Applications and Services,iiWAS '16,,978-1-4503-4807-2,Singapore; Singapore,ACM,New York; NY; USA
Performance Engineering for Microservices: Research Challenges and Directions,3053653,Robert  Heinrich and Andr&#233;  van Hoorn and Holger  Knoche and Fei  Li and Lucy Ellen Lwakatare and Claus  Pahl and Stefan  Schulte and Johannes  Wettinger,,,,,223--226,,4,continuous delivery; microservices; software performance engineering,10.1145/3053600.3053653,,,,,,,2017,,Proceedings of the 8th ACM/SPEC on International Conference on Performance Engineering Companion,ICPE '17 Companion,,978-1-4503-4899-7,L'Aquila; Italy,ACM,New York; NY; USA
An Efficient Algorithm of Context-Clustered Microservice Discovery,3277949,Huan  Liu and Zhiying  Cao and Xiuguo  Zhang,,,,,60:1--60:6,60,6,Microservice; clustering; context; service discovery,10.1145/3207677.3277949,,,,,,,2018,,Proceedings of the 2Nd International Conference on Computer Science and Application Engineering,CSAE '18,,978-1-4503-6512-3,Hohhot; China,ACM,New York; NY; USA
Microservices in Agile Software Development: A Workshop-based Study into Issues; Advantages; and Disadvantages,3120483,Davide  Taibi and Valentina  Lenarduzzi and Claus  Pahl and Andrea  Janes,,,,,23:1--23:5,23,5,SOA; cloud software; microservices; software architecture,10.1145/3120459.3120483,,,,,,,2017,,Proceedings of the XP2017 Scientific Workshops,XP '17,,978-1-4503-5264-2,Cologne; Germany,ACM,New York; NY; USA
A Generic Distributed Microservices and Container Based Framework for Metaheuristic Optimization,3208253,Hatem  Khalloof and Wilfried  Jakob and Jianlei  Liu and Eric  Braun and Shadi  Shahoud and Clemens  Duepmeier and Veit  Hagenmeyer,,,,,1363--1370,,8,cluster; container; evolutionary algorithms; metaheuristic optimization; microservices; parallel computing; scalability; virtualization,10.1145/3205651.3208253,,,,,,,2018,,Proceedings of the Genetic and Evolutionary Computation Conference Companion,GECCO '18,,978-1-4503-5764-7,Kyoto; Japan,ACM,New York; NY; USA
Resource Scheduling Optimisation Algorithm for Containerised Microservice Architecture in Cloud Computing,3271849,,,,,,51--58,,8,,,Int. J. High Perform. Syst. Archit.,18-Jan,8,02-Jan,,January,2018,1751-6528,,,,,,Inderscience Publishers,Inderscience Publishers; Geneva; SWITZERLAND
Microservices: A Systematic Mapping Study,3021846,Claus  Pahl and Pooyan  Jamshidi,,,,,137--146,,10,Cloud; Container; Mircoservices; Systematic Literature Review; Systematic Mapping Study.,10.5220/0005785501370146,,,,,,,2016,,Proceedings of the 6th International Conference on Cloud Computing and Services Science - Volume 1 and 2,CLOSER 2016,,978-989-758-182-3,Rome; Italy,SCITEPRESS - Science and Technology Publications; Lda,Portugal
cCube: A Cloud Microservices Architecture for Evolutionary Machine Learning Classification,3076089,Pasquale  Salza and Erik  Hemberg and Filomena  Ferrucci and Una-May  O'Reilly,,,,,137--138,,2,cloud computing; evolutionary machine learning; microservices,10.1145/3067695.3076089,,,,,,,2017,,Proceedings of the Genetic and Evolutionary Computation Conference Companion,GECCO '17,,978-1-4503-4939-0,Berlin; Germany,ACM,New York; NY; USA
Towards a Practical Maintainability Quality Model for Service-and Microservice-based Systems,3129816,Justus  Bogner and Stefan  Wagner and Alfred  Zimmermann,,,,,195--198,,4,SOA; maintainability; metrics; microservices; quality model; service-based systems,10.1145/3129790.3129816,,,,,,,2017,,Proceedings of the 11th European Conference on Software Architecture: Companion Proceedings,ECSA '17,,978-1-4503-5217-8,Canterbury; United Kingdom,ACM,New York; NY; USA
An Ontology Alignment Framework for Data-driven Microservices,3151793,Ivan  Salvadori and Bruno C. N. Oliveira and Alexis  Huf and Eduardo C. Inacio and Frank  Siqueira,,,,,425--433,,9,microservices; ontology matching; semantic web; semantic web services,10.1145/3151759.3151793,,,,,,,2017,,Proceedings of the 19th International Conference on Information Integration and Web-based Applications & Services,iiWAS '17,,978-1-4503-5299-4,Salzburg; Austria,ACM,New York; NY; USA
Integrating Continuous Security Assessments in Microservices and Cloud Native Applications,3147229,Kennedy A. Torkura and Muhammad I.H. Sukmana and Christoph  Meinel,,,,,171--180,,10,cloud native applications; microservices; security assessment; vulnerability detection,10.1145/3147213.3147229,,,,,,,2017,,Proceedings of the10th International Conference on Utility and Cloud Computing,UCC '17,,978-1-4503-5149-2,Austin; Texas; USA,ACM,New York; NY; USA
A Pattern Language for Scalable Microservices-based Systems,3241429,Gast&#243;n  M&#225;rquez and M&#243;nica M. Villegas and Hern&#225;n  Astudillo,,,,,24:1--24:7,24,7,microservices; pattern language; scalability; software architecture,10.1145/3241403.3241429,,,,,,,2018,,Proceedings of the 12th European Conference on Software Architecture: Companion Proceedings,ECSA '18,,978-1-4503-6483-6,Madrid; Spain,ACM,New York; NY; USA
DEVSML 3.0 Stack: Rapid Deployment of DEVS Farm in Distributed Cloud Environment Using Microservices and Containers,3108924,Saurabh  Mittal and Jos&#233; L. Risco-Mart&#237;n,,,,,19:1--19:12,19,12,DEVS farm; DEVS/SOA; DEVS/cloud; docker; microservices,,,,,,,,2017,,Proceedings of the Symposium on Theory of Modeling & Simulation,TMS/DEVS '17,,,Virginia Beach; Virginia,Society for Computer Simulation International,San Diego; CA; USA
Towards Quantifiable Boundaries for Elastic Horizontal Scaling of Microservices,3148111,Manuel Ram&#237;rez L&#243;pez and Josef  Spillner,,,,,35--40,,6,microservices; optimization; replication; scalability,10.1145/3147234.3148111,,,,,,,2017,,Companion Proceedings of the10th International Conference on Utility and Cloud Computing,UCC '17 Companion,,978-1-4503-5195-9,Austin; Texas; USA,ACM,New York; NY; USA
Practical Service Placement Approach for Microservices Architecture,3101167,Mennan  Selimi and Lloren&#231;  Cerd&#224;-Alabern and Marc  S&#225;nchez-Artigas and Felix  Freitag and Lu&#237;s  Veiga,,,,,401--410,,10,community networks; micro-clouds; service placement,10.1109/CCGRID.2017.28,,,,,,,2017,,Proceedings of the 17th IEEE/ACM International Symposium on Cluster; Cloud and Grid Computing,CCGrid '17,,978-1-5090-6610-0,Madrid; Spain,IEEE Press,Piscataway; NJ; USA
DEVS Distributed Modeling Framework: A Parallel DEVS Implementation via Microservices,2975411,Robert  Kewley and Neil  Kester and Joseph  McDonnell,,,,,22:1--22:8,22,8,DEVS; cloud computing; distributed systems; parallel discrete event simulation,,,,,,,,2016,,Proceedings of the Symposium on Theory of Modeling & Simulation,TMS-DEVS '16,,978-1-5108-2321-1,Pasadena; California,Society for Computer Simulation International,San Diego; CA; USA
Deep Customization of Multi-tenant SaaS Using Intrusive Microservices,3183407,Hui  Song and Franck  Chauvel and Arnor  Solberg,,,,,97--100,,4,SaaS; architecture style; customization; multi-tenancy,10.1145/3183399.3183407,,,,,,,2018,,Proceedings of the 40th International Conference on Software Engineering: New Ideas and Emerging Results,ICSE-NIER '18,,978-1-4503-5662-6,Gothenburg; Sweden,ACM,New York; NY; USA
Research on Context-based Instances Selection of Microservice,3277954,Jixin  Shao and Xiuguo  Zhang and Zhiying  Cao,,,,,1:1--1:5,1,5,Microservice; context; microservice instances selection,10.1145/3207677.3277954,,,,,,,2018,,Proceedings of the 2Nd International Conference on Computer Science and Application Engineering,CSAE '18,,978-1-4503-6512-3,Hohhot; China,ACM,New York; NY; USA
Exploring the Impact of Situational Context: A Case Study of a Software Development Process for a Microservices Architecture,2904368,Rory V. O'Connor and Peter  Elger and Paul M. Clarke,,,,,6--10,,5,Agile; lean; process selection; software development context; software development process,10.1145/2904354.2904368,,,,,,,2016,,Proceedings of the International Conference on Software and Systems Process,ICSSP '16,,978-1-4503-4188-2,Austin; Texas,ACM,New York; NY; USA
Container-based Architecture to Optimize the Integration of Microservices into Cloud-based Data-intensive Application Scenarios,3241439,Ingo  Simonis,,,,,34:1--34:3,34,3,container; microservices; software architecture,10.1145/3241403.3241439,,,,,,,2018,,Proceedings of the 12th European Conference on Software Architecture: Companion Proceedings,ECSA '18,,978-1-4503-6483-6,Madrid; Spain,ACM,New York; NY; USA
Automatically Measuring the Maintainability of Service- and Microservice-based Systems: A Literature Review,3143443,Justus  Bogner and Stefan  Wagner and Alfred  Zimmermann,,,,,107--115,,9,SOA; maintainability; metrics; microservices; service-based systems,10.1145/3143434.3143443,,,,,,,2017,,Proceedings of the 27th International Workshop on Software Measurement and 12th International Conference on Software Process and Product Measurement,IWSM Mensura '17,,978-1-4503-4853-9,Gothenburg; Sweden,ACM,New York; NY; USA
Towards a More Reliable and Robust Cloud Meta-Operating System Based on Heterogeneous Kernels: A Novel Approach Based on Containers and Microservices,3010092,Ramzi  Debab and Walid-Khaled  Hidouci,,,,,7:1--7:13,7,13,Containers; Docker; Microservices; Mission critical and intensive applications; Monolithic Kernels; Operating Systems; System calls; Virtualization; Web Services,10.1145/3010089.3010092,,,,,,,2016,,Proceedings of the International Conference on Big Data and Advanced Wireless Technologies,BDAW '16,,978-1-4503-4779-2,Blagoevgrad; Bulgaria,ACM,New York; NY; USA
A Microservice Architecture for the Intranet of Things and Energy in Smart Buildings: Research Paper,3007215,Kaibin  Bao and Ingo  Mauser and Sebastian  Kochanneck and Huiwen  Xu and Hartmut  Schmeck,,,,,3:1--3:6,3,6,Architecture; Energy Informatics; Energy Management; Internet of Things; Middleware; Smart Building; Smart Energy; Visualization,10.1145/3007203.3007215,,,,,,,2016,,Proceedings of the 1st International Workshop on Mashups of Things and APIs,MOTA '16,,978-1-4503-4669-6,Trento; Italy,ACM,New York; NY; USA
