Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Towards Autonomous Services for Smart Mobile Devices","Mobile Data Management","","","","10.1007/3-540-36389-0_19","Thomas Strang","2003","http://link.springer.com/chapter/10.1007/3-540-36389-0_19","Chapter"
"Software Design Concepts","Industry 4.0","","","","10.1007/978-1-4842-2047-4_9","Alasdair Gilchrist","2016","http://link.springer.com/chapter/10.1007/978-1-4842-2047-4_9","Chapter"
"A Research Perspective on Fog Computing","Service-Oriented Computing – ICSOC 2017 Workshops","","","","10.1007/978-3-319-91764-1_16","David BermbachFrank PallasDavid García PérezPierluigi PlebaniMaya AndersonRonen KatStefan Tai","2018","http://link.springer.com/chapter/10.1007/978-3-319-91764-1_16","Chapter"
"IoT and Microservices","Microservices, IoT, and Azure","","","","10.1007/978-1-4842-1275-2_7","Bob Familiar","2015","http://link.springer.com/chapter/10.1007/978-1-4842-1275-2_7","Chapter"
"Gamifying cultural experiences across the urban environment","Multimedia Tools and Applications","","","","10.1007/s11042-018-6513-4","Catia PrandiAndrea MelisMarco PrandiniGiovanni DelnevoLorenzo MontiSilvia MirriPaola Salomoni","2018","http://link.springer.com/article/10.1007/s11042-018-6513-4","Article"
"Anuvaad Pranaali: A RESTful API for Machine Translation","Service-Oriented Computing – ICSOC 2016 Workshops","","","","10.1007/978-3-319-68136-8_20","Nehal J. WaniSharada Prasanna MohantySuresh PuriniDipti Misra Sharma","2017","http://link.springer.com/chapter/10.1007/978-3-319-68136-8_20","Chapter"
"Cloud Robotic Platform on Basis of Fog Computing Approach","Interactive Collaborative Robotics","","","","10.1007/978-3-319-99582-3_4","Aleksandr ChueshevOlga MelekhovaRoman Meshcheryakov","2018","http://link.springer.com/chapter/10.1007/978-3-319-99582-3_4","Chapter"
"Big Data-Oriented PaaS Architecture with Disk-as-a-Resource Capability and Container-Based Virtualization","Journal of Grid Computing","","","","10.1007/s10723-018-9460-4","Jonatan EnesJavier López CacheiroRoberto R. ExpósitoJuan Touriño","2018","http://link.springer.com/article/10.1007/s10723-018-9460-4","Article"
"Code Structuring Concepts","Erlang and Elixir for Imperative Programmers","","","","10.1007/978-1-4842-2394-9_16","Wolfgang Loder","2016","http://link.springer.com/chapter/10.1007/978-1-4842-2394-9_16","Chapter"
"Collaborative Drawing Annotations on Web Videos","Engineering the Web in the Big Data Era","","","","10.1007/978-3-319-19890-3_54","István KorenPetru NicolaescuRalf Klamma","2015","http://link.springer.com/chapter/10.1007/978-3-319-19890-3_54","Chapter"
"Discovering the City: Crowdsourcing and Personalized Urban Paths Across Cultural Heritage","Smart Objects and Technologies for Social Good","","","","10.1007/978-3-319-76111-4_14","Giovanni DelnevoAndrea MelisSilvia MirriLorenzo MontiMarco Prandini","2018","http://link.springer.com/chapter/10.1007/978-3-319-76111-4_14","Chapter"
"From Agile Development to DevOps: Going Towards Faster Releases at High Quality – Experiences from an Industrial Context","Software Quality. Complexity and Challenges of Software Engineering in Emerging Technologies","","","","10.1007/978-3-319-49421-0_3","Frank ElberzhagerTaslim ArifMatthias NaabInge SüßSener Koban","2017","http://link.springer.com/chapter/10.1007/978-3-319-49421-0_3","Chapter"
"Evaluation of Cloud Systems","Modeling and Simulation in HPC and Cloud Systems","","","","10.1007/978-3-319-73767-6_4","Mihaela-Andreea VasileGeorge-Valentin IordacheAlexandru TudoricaFlorin Pop","2018","http://link.springer.com/chapter/10.1007/978-3-319-73767-6_4","Chapter"
"Joining Jolie to Docker","Proceedings of 5th International Conference in Software Engineering for Defence Applications","","","","10.1007/978-3-319-70578-1_16","Alberto GiarettaNicola DragoniManuel Mazzara","2018","http://link.springer.com/chapter/10.1007/978-3-319-70578-1_16","Chapter"
"An Innovative MapReduce-Based Approach of Dijkstra’s Algorithm for SDN Routing in Hybrid Cloud, Edge and IoT Scenarios","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-99819-0_14","Alina BuzachisAntonino GallettaAntonio CelestiMassimo Villari","2018","http://link.springer.com/chapter/10.1007/978-3-319-99819-0_14","Chapter"
"Towards CLARIN-PL LTC Digital Research Platform  for: Depositing, Processing, Analyzing and Visualizing Language Data","Reliability and Statistics in Transportation and Communication","","","","10.1007/978-3-319-74454-4_47","Marcin PolTomasz WalkowiakMaciej Piasecki","2018","http://link.springer.com/chapter/10.1007/978-3-319-74454-4_47","Chapter"
"Microservices","Informatik-Spektrum","","40","6","10.1007/s00287-017-1078-6","Alexander Schwartz","2017","http://link.springer.com/article/10.1007/s00287-017-1078-6","Article"
"A Performance Survey of Lightweight Virtualization Techniques","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-67262-5_3","Max PlauthLena FeinbubeAndreas Polze","2017","http://link.springer.com/chapter/10.1007/978-3-319-67262-5_3","Chapter"
"Rendezvous Architectures","Encyclopedia of Big Data Technologies","","","","10.1007/978-3-319-63962-8_199-1","Ted DunningEllen Friedman","2018","http://link.springer.com/referenceworkentry/10.1007/978-3-319-63962-8_199-1","ReferenceWorkEntry"
"Decision-Controlled Digitization Architecture for Internet of Things and Microservices","Intelligent Decision Technologies 2017","","","","10.1007/978-3-319-59424-8_8","Alfred ZimmermannRainer SchmidtKurt SandkuhlDierk JugelJustus BognerMichael Möhring","2018","http://link.springer.com/chapter/10.1007/978-3-319-59424-8_8","Chapter"
"Model-driven development of user interfaces for IoT systems via domain-specific components and patterns","Journal of Internet Services and Applications","","8","1","10.1186/s13174-017-0064-1","Marco BrambillaEric UmuhozaRoberto Acerbis","2017","http://link.springer.com/article/10.1186/s13174-017-0064-1","Article"
"A Protocol for Constraint Automata Execution in a Synchronous Network of Processors","Verification and Evaluation of Computer and Communication Systems","","","","10.1007/978-3-030-00359-3_6","Alireza FarhadiMohammad IzadiJafar Habibi","2018","http://link.springer.com/chapter/10.1007/978-3-030-00359-3_6","Chapter"
"Data Integration and Quality Requirements in Emergency Services","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-72125-5_17","Chiara FrancalanciBarbara Pernici","2018","http://link.springer.com/chapter/10.1007/978-3-319-72125-5_17","Chapter"
"The Materials Commons: A Collaboration Platform and Information Repository for the Global Materials Community","JOM","","68","8","10.1007/s11837-016-1998-7","Brian PuchalaGlenn TarceaEmmanuelle. A. MarquisMargaret HedstromH. V. JagadishJohn E. Allison","2016","http://link.springer.com/article/10.1007/s11837-016-1998-7","Article"
"An Evidential and Context-Aware Recommendation Strategy to Enhance Interactions with Smart Spaces","Hybrid Artificial Intelligent Systems","","","","10.1007/978-3-642-40846-5_25","Josué IglesiasAna M. BernardosJosé R. Casar","2013","http://link.springer.com/chapter/10.1007/978-3-642-40846-5_25","Chapter"
"Towards a Cloud-Native Radio Access Network","Advances in Mobile Cloud Computing and Big Data in the 5G Era","","","","10.1007/978-3-319-45145-9_8","Navid NikaeinEryk SchillerRomain FavraudRaymond KnoppIslam AlyafawiTorsten Braun","2017","http://link.springer.com/chapter/10.1007/978-3-319-45145-9_8","Chapter"
"IaaS Service Selection Revisited","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-99819-0_13","Kyriakos KritikosGeir Horn","2018","http://link.springer.com/chapter/10.1007/978-3-319-99819-0_13","Chapter"
"A Systematic Mapping Study on Microservices","Recent Trends in Data Science and Soft Computing","","","","10.1007/978-3-319-99007-1_100","Mohammad Sadegh HamzehlouiShamsul SahibuddinKhalil Salah","2019","http://link.springer.com/chapter/10.1007/978-3-319-99007-1_100","Chapter"
"Architecting Enterprise Applications for the Cloud: The Unicorn Universe Cloud Framework","Service-Oriented Computing – ICSOC 2017 Workshops","","","","10.1007/978-3-319-91764-1_21","Marek BeranekMarek StastnyVladimir KovarGeorge Feuerlicht","2018","http://link.springer.com/chapter/10.1007/978-3-319-91764-1_21","Chapter"
"Self-Reconfiguring Microservices","Theory and Practice of Formal Methods","","","","10.1007/978-3-319-30734-3_14","Maurizio GabbrielliSaverio GiallorenzoClaudio GuidiJacopo MauroFabrizio Montesi","2016","http://link.springer.com/chapter/10.1007/978-3-319-30734-3_14","Chapter"
"FBaaS: Functional Blockchain as a Service","Blockchain – ICBC 2018","","","","10.1007/978-3-319-94478-4_17","Huan ChenLiang-Jie Zhang","2018","http://link.springer.com/chapter/10.1007/978-3-319-94478-4_17","Chapter"
"AntibIoTic: Protecting IoT Devices Against DDoS Attacks","Proceedings of 5th International Conference in Software Engineering for Defence Applications","","","","10.1007/978-3-319-70578-1_7","Michele De DonnoNicola DragoniAlberto GiarettaManuel Mazzara","2018","http://link.springer.com/chapter/10.1007/978-3-319-70578-1_7","Chapter"
"Survey on Compromise-Defensive System Design","Information Science and Applications 2018","","","","10.1007/978-981-13-1056-0_51","Tomas CernyMichael Jeff Donahoo","2019","http://link.springer.com/chapter/10.1007/978-981-13-1056-0_51","Chapter"
"Adaptive Resource Provisioning and Auto-scaling for Cloud Native Software","Information and Software Technologies","","","","10.1007/978-3-319-99972-2_9","Olesia PozdniakovaDalius MažeikaAurimas Cholomskis","2018","http://link.springer.com/chapter/10.1007/978-3-319-99972-2_9","Chapter"
"Software Architecture for the Cloud – A Roadmap Towards Control-Theoretic, Model-Based Cloud Architecture","Software Architecture","","","","10.1007/978-3-319-23727-5_17","Claus PahlPooyan Jamshidi","2015","http://link.springer.com/chapter/10.1007/978-3-319-23727-5_17","Chapter"
"Engineering a Highly Scalable Object-Aware Process Management Engine Using Distributed Microservices","On the Move to Meaningful Internet Systems. OTM 2018 Conferences","","","","10.1007/978-3-030-02671-4_5","Kevin AndrewsSebastian SteinauManfred Reichert","2018","http://link.springer.com/chapter/10.1007/978-3-030-02671-4_5","Chapter"
"Online Social Networks Analysis Visualization Using Socii","Trends and Advances in Information Systems and Technologies","","","","10.1007/978-3-319-77712-2_21","Jorge Daniel CaldasAlda Lopes GancarskiPedro Rangel Henriques","2018","http://link.springer.com/chapter/10.1007/978-3-319-77712-2_21","Chapter"
"Swarm Based System for Management of Containerized Microservices in a Cloud Consisting of Heterogeneous Servers","Information Systems Architecture and Technology: Proceedings of 38th International Conference on Information Systems Architecture and Technology – ISAT 2017","","","","10.1007/978-3-319-67220-5_24","Waldemar KarwowskiMarian RusekGrzegorz DwornickiArkadiusz Orłowski","2018","http://link.springer.com/chapter/10.1007/978-3-319-67220-5_24","Chapter"
"A Rule-Based eCommerce Methodology for the IoT Using Trustworthy Intelligent Agents and Microservices","Rules and Reasoning","","","","10.1007/978-3-319-99906-7_22","Kalliopi KravariNick Bassiliades","2018","http://link.springer.com/chapter/10.1007/978-3-319-99906-7_22","Chapter"
"Decision-Oriented Composition Architecture for Digital Transformation","Intelligent Decision Technologies 2018","","","","10.1007/978-3-319-92028-3_11","Alfred ZimmermannRainer SchmidtKurt SandkuhlDierk JugelJustus BognerMichael Möhring","2019","http://link.springer.com/chapter/10.1007/978-3-319-92028-3_11","Chapter"
"OMiLAB: An Open Collaborative Environment for Modeling Method Engineering","Domain-Specific Conceptual Modeling","","","","10.1007/978-3-319-39417-6_3","David GötzingerElena-Teodora MironFranz Staffel","2016","http://link.springer.com/chapter/10.1007/978-3-319-39417-6_3","Chapter"
"The Cloud Native Stack: Building Cloud Applications as Google Does","Digital Marketplaces Unleashed","","","","10.1007/978-3-662-49275-8_63","Josef AdersbergerJohannes Siedersleben","2018","http://link.springer.com/chapter/10.1007/978-3-662-49275-8_63","Chapter"
"Automated Analysis of Cloud Offerings for Optimal Service Provisioning","Service-Oriented Computing","","","","10.1007/978-3-319-69035-3_23","José María GarcíaOctavio Martín-DíazPablo FernandezAntonio Ruiz-CortésMiguel Toro","2017","http://link.springer.com/chapter/10.1007/978-3-319-69035-3_23","Chapter"
"Usability of Visual Data Profiling in Data Cleaning and Transformation","On the Move to Meaningful Internet Systems. OTM 2017 Conferences","","","","10.1007/978-3-319-69459-7_32","Bjørn Marius von ZernichowDumitru Roman","2017","http://link.springer.com/chapter/10.1007/978-3-319-69459-7_32","Chapter"
"Packaging Microservices","Distributed Applications and Interoperable Systems","","","","10.1007/978-3-319-59665-5_9","Fabrizio MontesiDan Sebastian Thrane","2017","http://link.springer.com/chapter/10.1007/978-3-319-59665-5_9","Chapter"
"Multivendor Deployment Integration for Future Mobile Networks","SOFSEM 2018: Theory and Practice of Computer Science","","","","10.1007/978-3-319-73117-9_25","Manuel Perez MartinezTímea LászlóNorbert PatakiCsaba RotterCsaba Szalai","2018","http://link.springer.com/chapter/10.1007/978-3-319-73117-9_25","Chapter"
"FitScale: Scalability of Legacy Applications Through Migration to Cloud","Service-Oriented Computing","","","","10.1007/978-3-319-46295-0_8","Jinho HwangMaja VukovicNikos Anerousis","2016","http://link.springer.com/chapter/10.1007/978-3-319-46295-0_8","Chapter"
"Distributed Semantic Analytics Using the SANSA Stack","The Semantic Web – ISWC 2017","","","","10.1007/978-3-319-68204-4_15","Jens LehmannGezim SejdiuLorenz BühmannPatrick WestphalClaus StadlerIvan ErmilovSimon BinNilesh ChakrabortyMuhammad SaleemAxel-Cyrille Ngonga NgomoHajira Jabeen","2017","http://link.springer.com/chapter/10.1007/978-3-319-68204-4_15","Chapter"
"SDAC: A New Software-Defined Access Control Paradigm for Cloud-Based Systems","Information and Communications Security","","","","10.1007/978-3-319-89500-0_49","Ruan HeMontida PattaranantakulZonghua ZhangThomas Duval","2018","http://link.springer.com/chapter/10.1007/978-3-319-89500-0_49","Chapter"
"The Twenty-First Century General Insurance Scenario in the Third World: The Case Study of the Indian Market","The Geneva Papers on Risk and Insurance - Issues and Practice","","25","3","10.1111/1468-0440.00070","R D Samarth","2000","http://link.springer.com/article/10.1111/1468-0440.00070","Article"
"Tight and Loose Coupling in Evolving Platform Ecosystems: The Cases of Airbnb and Uber","Business Information Systems","","","","10.1007/978-3-319-93931-5_21","Andreas HeinMarkus BöhmHelmut Krcmar","2018","http://link.springer.com/chapter/10.1007/978-3-319-93931-5_21","Chapter"
"Archiving Experimental Data","Encyclopedia of Database Systems","","","","10.1007/978-0-387-39940-9_1287","Reagan W. Moore","2009","http://link.springer.com/referenceworkentry/10.1007/978-0-387-39940-9_1287","ReferenceWorkEntry"
"Archiving Experimental Data","Encyclopedia of Database Systems","","","","10.1007/978-1-4899-7993-3_1287-2","Reagan W. Moore","2017","http://link.springer.com/referenceworkentry/10.1007/978-1-4899-7993-3_1287-2","ReferenceWorkEntry"
"Distributed Architectures for Event-Based Systems","Reasoning in Event-Based Distributed Systems","","","","10.1007/978-3-642-19724-6_2","Valentin CristeaFlorin PopCiprian DobreAlexandru Costan","2011","http://link.springer.com/chapter/10.1007/978-3-642-19724-6_2","Chapter"
"Polyglot Persistence","Datenbank-Spektrum","","15","3","10.1007/s13222-015-0194-1","Felix GessertNorbert Ritter","2015","http://link.springer.com/article/10.1007/s13222-015-0194-1","Article"
"How to Innovate Software Quality Assurance and Testing in Large Enterprises?","Systems, Software and Services Process Improvement","","","","10.1007/978-3-319-97925-0_37","Alexander PothChristian Heimann","2018","http://link.springer.com/chapter/10.1007/978-3-319-97925-0_37","Chapter"
"An XRI naming system for dynamic and federated clouds: a performance analysis","Journal of Internet Services and Applications","","2","3","10.1007/s13174-011-0038-7","Antonio CelestiMassimo VillariAntonio Puliafito","2011","http://link.springer.com/article/10.1007/s13174-011-0038-7","Article"
"A Decentralized System for Load Balancing of Containerized Microservices in the Cloud","Advances in Systems Science","","","","10.1007/978-3-319-48944-5_14","Marian RusekGrzegorz DwornickiArkadiusz Orłowski","2017","http://link.springer.com/chapter/10.1007/978-3-319-48944-5_14","Chapter"
"Docker Cluster Management for the Cloud - Survey Results and Own Solution","Journal of Grid Computing","","14","2","10.1007/s10723-016-9366-y","René PeinlFlorian HolzschuherFlorian Pfitzer","2016","http://link.springer.com/article/10.1007/s10723-016-9366-y","Article"
"Anomaly Detection with HTM","Anti-fragile ICT Systems","","","","10.1007/978-3-319-30070-2_12","Kjell Jørgen Hole","2016","http://link.springer.com/chapter/10.1007/978-3-319-30070-2_12","Chapter"
"An Experience of Constructing a Service API for Corporate Data Delivery","Computational Science and Its Applications – ICCSA 2016","","","","10.1007/978-3-319-42092-9_17","Itamir de Morais Barroca FilhoMario MeloCicero Alves SilvaGibeon Soares de Aquino Jr.Vinicius CamposViviane Costa","2016","http://link.springer.com/chapter/10.1007/978-3-319-42092-9_17","Chapter"
"Development Environment and Workflow","Microservices From Day One","","","","10.1007/978-1-4842-1937-9_8","Cloves Carneiro Jr.Tim Schmelmer","2016","http://link.springer.com/chapter/10.1007/978-1-4842-1937-9_8","Chapter"
"Die Organisation der Zukunft: Microservices","Wirtschaftsinformatik & Management","","10","1","10.1007/s35764-018-0022-0","Prof. Dr. Volker Gruhn","2018","http://link.springer.com/article/10.1007/s35764-018-0022-0","Article"
"Team Services for Azure Service Fabric Deployments","Beginning Build and Release Management with TFS 2017 and VSTS","","","","10.1007/978-1-4842-2811-1_6","Chaminda Chandrasekara","2017","http://link.springer.com/chapter/10.1007/978-1-4842-2811-1_6","Chapter"
"Service Discovery","Advanced Microservices","","","","10.1007/978-1-4842-2887-6_4","Thomas Hunter II","2017","http://link.springer.com/chapter/10.1007/978-1-4842-2887-6_4","Chapter"
"Enabling DevOps Collaboration and Continuous Delivery Using Diverse Application Environments","On the Move to Meaningful Internet Systems: OTM 2015 Conferences","","","","10.1007/978-3-319-26148-5_23","Johannes WettingerVasilios AndrikopoulosFrank Leymann","2015","http://link.springer.com/chapter/10.1007/978-3-319-26148-5_23","Chapter"
"Bring Your Own Identity - Case Study from the Swiss Government","Privacy Technologies and Policy","","","","10.1007/978-3-319-44760-5_3","Gion SialmSilvia Knittl","2016","http://link.springer.com/chapter/10.1007/978-3-319-44760-5_3","Chapter"
"A Domain Specific Language to Simplify the Creation of Large Scale Federated Model Sets","Environmental Software Systems. Computer Science for Environmental Protection","","","","10.1007/978-3-319-89935-0_35","Zachary T. ReinhartSunil SuramKenneth M. Bryden","2017","http://link.springer.com/chapter/10.1007/978-3-319-89935-0_35","Chapter"
"Experiences on Migrating RESTful Web Services to GraphQL","Service-Oriented Computing – ICSOC 2017 Workshops","","","","10.1007/978-3-319-91764-1_23","Maximilian VogelSebastian WeberChristian Zirpins","2018","http://link.springer.com/chapter/10.1007/978-3-319-91764-1_23","Chapter"
"Managing Provenance in iRODS","Computational Science – ICCS 2009","","","","10.1007/978-3-642-01973-9_75","Andrea WeiseAdil HasanMark HedgesJens Jensen","2009","http://link.springer.com/chapter/10.1007/978-3-642-01973-9_75","Chapter"
"MITK-OpenIGTLink for combining open-source toolkits in real-time computer-assisted interventions","International Journal of Computer Assisted Radiology and Surgery","","12","3","10.1007/s11548-016-1488-y","Martin KlemmThomas KirchnerJanek GröhlDominique CherayMarco NoldenAlexander SeitelHarald HoppeLena Maier-HeinAlfred M. Franz","2017","http://link.springer.com/article/10.1007/s11548-016-1488-y","Article"
"Managing Groups of Files in a Rule Oriented Data Management System (iRODS)","Computational Science – ICCS 2008","","","","10.1007/978-3-540-69389-5_37","Andrea WeiseMike WanWayne SchroederAdil Hasan","2008","http://link.springer.com/chapter/10.1007/978-3-540-69389-5_37","Chapter"
"Ubiquity: Extensible Persistence as a Service for Heterogeneous Container-Based Frameworks","On the Move to Meaningful Internet Systems. OTM 2017 Conferences","","","","10.1007/978-3-319-69462-7_45","Mohamed MohamedAmit WarkeDean HildebrandRobert EngelHeiko LudwigNagapramod Mandagere","2017","http://link.springer.com/chapter/10.1007/978-3-319-69462-7_45","Chapter"
"Modellgetriebene Entwicklung objektorientierter Anwendungssysteme auf Basis von SOM","Geschäftsprozessorientierte Systementwicklung","","","","10.1007/978-3-658-14826-3_15","Carsten Malischewski","2016","http://link.springer.com/chapter/10.1007/978-3-658-14826-3_15","Chapter"
"Multifaceted Loose Coupling","Unraveling Software Maintenance and Evolution","","","","10.1007/978-3-319-71303-8_8","Ervin Varga","2017","http://link.springer.com/chapter/10.1007/978-3-319-71303-8_8","Chapter"
"Improving coordination through information continuity: a framework for translational research","BMC Health Services Research","","14","1","10.1186/s12913-014-0590-5","Karen GardnerMichelle BanfieldIan McRaeJames GillespieLaurann Yen","2014","http://link.springer.com/article/10.1186/s12913-014-0590-5","Article"
"A Performance Study of Containers in Cloud Environment","Advances in Services Computing","","","","10.1007/978-3-319-49178-3_27","Bowen RuanHang HuangSong WuHai Jin","2016","http://link.springer.com/chapter/10.1007/978-3-319-49178-3_27","Chapter"
"Test Automation and Architecture","Complete Guide to Test Automation","","","","10.1007/978-1-4842-3832-5_6","Arnon Axelrod","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3832-5_6","Chapter"
"How to Deliver Faster with CI/CD Integrated Testing Services?","Systems, Software and Services Process Improvement","","","","10.1007/978-3-319-97925-0_33","Alexander PothMark WernerXinyan Lei","2018","http://link.springer.com/chapter/10.1007/978-3-319-97925-0_33","Chapter"
"A Framework for Pervasive and Ubiquitous Geriatric Monitoring","Human Aspects of IT for the Aged Population. Applications in Health, Assistance, and Entertainment","","","","10.1007/978-3-319-92037-5_17","Ramesh BalajiKaran BhavsarBrojeshwar BhowmickMithun B. S.Kingshuk ChakravartyDebatri ChatterjeeAvik GhosePuneet GuptaDibyanshu JaiswalSanjay KimbahuneKartik MuralidharanArpan PalAniruddha SinhaSrinivasa Raghavan Venkatachari","2018","http://link.springer.com/chapter/10.1007/978-3-319-92037-5_17","Chapter"
"Monitoring","Advanced Microservices","","","","10.1007/978-1-4842-2887-6_7","Thomas Hunter II","2017","http://link.springer.com/chapter/10.1007/978-1-4842-2887-6_7","Chapter"
"Humans as a Full Stack","Evolving Digital Leadership","","","","10.1007/978-1-4842-3606-2_7","James Brett","2019","http://link.springer.com/chapter/10.1007/978-1-4842-3606-2_7","Chapter"
"Distributed user interfaces: distributing interactions to facilitate universal access","Universal Access in the Information Society","","","","10.1007/s10209-017-0605-1","Jose A. GalludVictor M. R. Penichet","2017","http://link.springer.com/article/10.1007/s10209-017-0605-1","Article"
"Cloud and DevOps","Practical Scala DSLs","","","","10.1007/978-1-4842-3036-7_11","Pierluigi Riti","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3036-7_11","Chapter"
"Introduction","Learn Microservices with Spring Boot","","","","10.1007/978-1-4842-3165-4_1","Moises Macero","2017","http://link.springer.com/chapter/10.1007/978-1-4842-3165-4_1","Chapter"
"Realisierungsdimension","Das digitale Unternehmen","","","","10.1007/978-3-662-57617-5_11","Thomas Kofler","2018","http://link.springer.com/chapter/10.1007/978-3-662-57617-5_11","Chapter"
"Airline Application Security in the Digital Economy: Tackling Security Challenges for Distributed Applications in Lufthansa Systems","Digitalization Cases","","","","10.1007/978-3-319-95273-4_3","Balázs SomoskőiStefan SpahrErkuden RiosOscar RipollesJacek DominiakTamás CservenyPéter BálintPeter MatthewsEider IturbeVictor Muntés-Mulero","2019","http://link.springer.com/chapter/10.1007/978-3-319-95273-4_3","Chapter"
"The CEDAR Workbench: An Ontology-Assisted Environment for Authoring Metadata that Describe Scientific Experiments","The Semantic Web – ISWC 2017","","","","10.1007/978-3-319-68204-4_10","Rafael S. GonçalvesMartin J. O’ConnorMarcos Martínez-RomeroAttila L. EgyediDebra WillrettJohn GraybealMark A. Musen","2017","http://link.springer.com/chapter/10.1007/978-3-319-68204-4_10","Chapter"
"A Cloud Computing Workflow for Managing Oceanographic Data","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-79090-9_5","Salma AllamAntonino GallettaLorenzo CarnevaleMoulay Ali BekriRachid El OuahbiMassimo Villari","2018","http://link.springer.com/chapter/10.1007/978-3-319-79090-9_5","Chapter"
"On Reliable Collaborative Mobility Services","Collaborative Networks of Cognitive Systems","","","","10.1007/978-3-319-99127-6_26","A. Luis OsórioLuis M. Camarinha-MatosHamideh AfsarmaneshAdam Belloum","2018","http://link.springer.com/chapter/10.1007/978-3-319-99127-6_26","Chapter"
"Language Processing Modelling Notation – Orchestration of NLP Microservices","Advances in Dependability Engineering of Complex Systems","","","","10.1007/978-3-319-59415-6_44","Tomasz Walkowiak","2018","http://link.springer.com/chapter/10.1007/978-3-319-59415-6_44","Chapter"
"Continuous Delivery with GCP and Jenkins","Pro DevOps with Google Cloud Platform","","","","10.1007/978-1-4842-3897-4_5","Pierluigi Riti","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3897-4_5","Chapter"
"Learning from the Past: Designing Secure Network Protocols","Cybersecurity Best Practices","","","","10.1007/978-3-658-21655-9_41","Tobias FiebigFranziska LichtblauFlorian StreibeltThorben KrügerPieter LexisRandy BushAnja Feldmann","2018","http://link.springer.com/chapter/10.1007/978-3-658-21655-9_41","Chapter"
"An Architecture for Non-invasive Software Measurement","Perspectives of System Informatics","","","","10.1007/978-3-319-74313-4_1","Vasilii ArtemevVladimir IvanovManuel MazzaraAlan RogersAlberto SillittiGiancarlo SucciEugene Zouev","2018","http://link.springer.com/chapter/10.1007/978-3-319-74313-4_1","Chapter"
"Solution Design Using ASP.NET Core MVC","ASP.NET Core Recipes","","","","10.1007/978-1-4842-0427-6_6","John Ciliberti","2017","http://link.springer.com/chapter/10.1007/978-1-4842-0427-6_6","Chapter"
"Balancing Utility and Security: Securing Cloud Federations of Public Entities","On the Move to Meaningful Internet Systems: OTM 2016 Conferences","","","","10.1007/978-3-319-48472-3_60","Bojan SuzicBernd PrünsterDominik ZieglerAlexander MarsalekAndreas Reiter","2016","http://link.springer.com/chapter/10.1007/978-3-319-48472-3_60","Chapter"
"Roadmap for Sustainable Digitisation","The Digital Transformation of the Automotive Industry","","","","10.1007/978-3-319-71610-7_6","Uwe Winkelhake","2018","http://link.springer.com/chapter/10.1007/978-3-319-71610-7_6","Chapter"
"Ausgewählte Aspekte der Einführungsphase","Agile objektorientierte Software-Entwicklung","","","","10.1007/978-3-658-00776-8_8","Karl-Heinz Rau","2016","http://link.springer.com/chapter/10.1007/978-3-658-00776-8_8","Chapter"
"DevOps for Containerized Applications","Advances in Artificial Intelligence, Software and Systems Engineering","","","","10.1007/978-3-319-94229-2_4","Adam S. BienerAndrea C. Crawford","2019","http://link.springer.com/chapter/10.1007/978-3-319-94229-2_4","Chapter"
"Heterogeneity-aware adaptive auto-scaling heuristic for improved QoS and resource usage in cloud environments","Computing","","99","4","10.1007/s00607-016-0530-9","Jyoti SahniDeo Prakash Vidyarthi","2017","http://link.springer.com/article/10.1007/s00607-016-0530-9","Article"
"Ubiquity: An Extensible Framework for Persistence in Container Environments","Service-Oriented Computing – ICSOC 2017 Workshops","","","","10.1007/978-3-319-91764-1_38","Mohamed MohamedRobert EngelAmit WarkeHeiko Ludwig","2018","http://link.springer.com/chapter/10.1007/978-3-319-91764-1_38","Chapter"
"CAMI - An Integrated Architecture Solution for Improving Quality of Life of the Elderly","Internet of Things Technologies for HealthCare","","","","10.1007/978-3-319-51234-1_23","A. SoriciI. A. AwadaA. KunnappillyI. MocanuO. CramariucL. MalickiC. SeceleanuA. Florea","2016","http://link.springer.com/chapter/10.1007/978-3-319-51234-1_23","Chapter"
"Personalized Ubiquitous Commerce: An Application Perspective","Designing Personalized User Experiences in eCommerce","","","","10.1007/1-4020-2148-8_9","Dadong Wan","2004","http://link.springer.com/chapter/10.1007/1-4020-2148-8_9","Chapter"
"Social Acceptance and Usage Experiences from a Mobile Location-Aware Service Environment","Mobile Lightweight Wireless Systems","","","","10.1007/978-3-642-29479-2_14","Bernhard KleinJorge PerezChristian GuggenmosOlli PihlajamaaImmo HeinoJavier Del Ser","2012","http://link.springer.com/chapter/10.1007/978-3-642-29479-2_14","Chapter"
"Encoding Actions on Resources","Creating Maintainable APIs","","","","10.1007/978-1-4842-2196-9_7","Ervin Varga","2016","http://link.springer.com/chapter/10.1007/978-1-4842-2196-9_7","Chapter"
