Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,
MONAD: Self-Adaptive Micro-Service Infrastructure for Heterogeneous Scientific Workflows,P. Nguyen; K. Nahrstedt,NA; NA,2017 IEEE International Conference on Autonomic Computing (ICAC),,2017,,,187,196,,,,10.1109/ICAC.2017.38,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8005348,scientific workflow system;micro-service;infrastructure;self-adaptive system,Delays;Resource management;Adaptation models;Monitoring;Computational modeling;Computer architecture;Systems architecture,cloud computing;fault tolerant computing;natural sciences computing;neural nets;optimisation;resource allocation;scheduling;workflow management software,MONAD;self-adaptive micro-service infrastructure;heterogeneous scientific workflows;cloud-based workflow systems;resource optimization;fine-grained scheduling;artificial neural network-based system identification,,,,,,,,,IEEE,IEEE Conferences,
CYCLOPS: A micro service based approach for dynamic rating; charging & billing for cloud,S. Patanjali; B. Truninger; P. Harsh; T. M. Bohnert,InIT Cloud Computing Lab; Zurich University of Applied Sciences; Winterthur; Switzerland; InIT Cloud Computing Lab; Zurich University of Applied Sciences; Winterthur; Switzerland; InIT Cloud Computing Lab; Zurich University of Applied Sciences; Winterthur; Switzerland; InIT Cloud Computing Lab; Zurich University of Applied Sciences; Winterthur; Switzerland,2015 13th International Conference on Telecommunications (ConTEL),,2015,,,1,8,,,,10.1109/ConTEL.2015.7231226,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7231226,,Time series analysis;Databases;Measurement;Engines;Computer architecture;Cloud computing;Authorization,authorisation;cloud computing;costing;invoicing,CYCLOPS;microservice-based approach;cloud service adoption;cost models;cloud resource usage data collection;authentication check;authorization check;rating component;charging component;billing component;modular services;micro services;dynamic rating;cloud service providers;mathematical modeling,,,,,,,,,IEEE,IEEE Conferences,
Fog micro service market: Promoting fog computing using free market mechanism,Y. Hung; C. Wang,Research Center for Information Technology Innovation; Academia Sinica; Taipei; Taiwan; Research Center for Information Technology Innovation; Academia Sinica; Taipei; Taiwan,2018 IEEE Wireless Communications and Networking Conference (WCNC),,2018,,,1,6,,,,10.1109/WCNC.2018.8377074,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377074,,Device-to-device communication;Edge computing;Cloud computing;Games;Conferences;Mobile handsets;Nash equilibrium,cellular radio;cloud computing;game theory;mobile computing,centralized cloud;mobile users;Fog MicroService Market Game;fog computing;mobile devices;free market mechanism;cloud microservices;Device to Device communications;base station;game-theoretic framework;Fog-enabled cellular system,,,,,,,,,IEEE,IEEE Conferences,
Quick Pass Service System for Green Channel Vehicle Reservation Based on Micro Service Architecture,D. Sun; J. Yu; M. Jia,Ministry of Transport of the PRC; Research Institute of Highway; Beijing; 100088; China; Ministry of Transport of the PRC; Research Institute of Highway; Beijing; 100088; China; Ministry of Transport of the PRC; Research Institute of Highway; Beijing; 100088; China,2018 2nd IEEE Advanced Information Management;Communicates;Electronic and Automation Control Conference (IMCEC),,2018,,,1546,1552,,,,10.1109/IMCEC.2018.8469238,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8469238,traffic engineering;green channel vehicle;quick pass service system;micro service architecture,Green products;Inspection;Agricultural products;Service-oriented architecture;Road transportation,delays;Internet;mobile computing;road traffic;road vehicles;service-oriented architecture;traffic engineering computing,time delay problem;highway toll station;mobile Internet technology;quick pass service system;microservice architecture;green channel vehicle reservation;green channel vehicle detection;traffic efficiency;highway management level,,,,,,,,,IEEE,IEEE Conferences,
Complex Event Recognition Notification Methodology for Uncertain IoT Systems Based on Micro-Service Architecture,M. Vrbaski; M. Bolic; S. Majumdar,NA; NA; NA,2018 IEEE 6th International Conference on Future Internet of Things and Cloud (FiCloud),,2018,,,184,191,,,,10.1109/FiCloud.2018.00034,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8458011,the internet of things; complex event processing; complex event recognition; probability reasoning; probabilistic programming; notification; micro-services,Uncertainty;Monitoring;Probabilistic logic;Computer architecture;Programming;Internet of Things;Microprocessors,belief networks;Internet;Internet of Things;service-oriented architecture,IoT system uncertainty;complex event recognition notification methodology;uncertain IoT systems;Internet of Things systems;microservice based notification methodology;rule-based complex event processing;uncertain parameters;primitive events;complex relationship;inferred events;parent events;diverse IoT devices;uncertain data;observed complex event;observed physical system;microservice architecture,,,,,,,,,IEEE,IEEE Conferences,
Scalable micro-service based approach to FHIR server with golang and No-SQL,F. S. Shoumik; M. I. M. M. Talukder; A. I. Jami; N. W. Protik; M. M. Hoque,Department of CSE; Ahsanullah University of Science and Technology (AUST); Department of CSE; AUST; Department of CSE; AUST; Department of CSE; AUST; Department of CSE; Ahsanullah University of Science and Technology,2017 20th International Conference of Computer and Information Technology (ICCIT),,2017,,,1,6,,,,10.1109/ICCITECHN.2017.8281846,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8281846,FHIR;Interoperability;REST API;Health-Care system;scalability;micro-service,Servers;Logic gates;Business;Benchmark testing;Databases;Scalability;Tools,data analysis;electronic health records;health care;NoSQL databases;open systems,e-health-care data storage;Document Oriented Database;massive data handling;Fast Health Interoperability Resource server;scalable microservice;FHIR Framework interface;health-care systems;Electronic Health Record,,,,,,,,,IEEE,IEEE Conferences,
Towards Micro Service Architecture Recovery: An Empirical Study,N. Alshuqayran; N. Ali; R. Evans,NA; NA; NA,2018 IEEE International Conference on Software Architecture (ICSA),,2018,,,47,4709,,,,10.1109/ICSA.2018.00014,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8417116,micro service architecture;model driven engineering;software architecture;software architecture recovery;reverse engineering,Computer architecture;Object oriented modeling;Software;Reverse engineering;Analytical models;Complexity theory;Containers,service-oriented architecture;software maintenance;system recovery,architectural model;downstream software engineering tasks;microservice-based architectures;architectural integrity;microservice-based applications;microservice-based open source projects;Microservice Architecture Recovery;MiSAR;model driven engineering approach;metamodel,,,,,,,,,IEEE,IEEE Conferences,
Practical Service Placement Approach for Microservices Architecture,M. Selimi; L. Cerdà-Alabern; M. Sánchez-Artigas; F. Freitag; L. Veiga,NA; NA; NA; NA; NA,2017 17th IEEE/ACM International Symposium on Cluster; Cloud and Grid Computing (CCGRID),,2017,,,401,410,,,,10.1109/CCGRID.2017.28,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7973726,service placement;community networks;micro-clouds,Bandwidth;Wireless communication;Cloud computing;Hardware;Web 2.0;Extraterrestrial measurements;Web and internet services,cloud computing;decision making;graph theory;network theory (graphs);optimisation;software architecture,service placement approach;microservices architecture;community networks;CN;community microclouds;cloud services delivery;state information leveraging;service placement decisions;heuristic algorithm,,,,,,,,,IEEE,IEEE Conferences,
A scalable routing mechanism for stateful microservices,N. H. Do; T. Van Do; X. Thi Tran; L. Farkas; C. Rotter,Division of Knowledge and System Engineering for ICT (KSE-ICT); Faculty of Information Technology; Ton Duc Thang University; HCM City; Vietnam; Division of Knowledge and System Engineering for ICT (KSE-ICT); Faculty of Information Technology; Ton Duc Thang University; HCM City; Vietnam; Analysis; Design and Development of ICT systems (AddICT) Laboratory; Budapest University of Technology and Economics; Magyar tudósok körút 2; Budapest; Hungary; Nokia Bell Labs; Köztelek utca 6; Budapest; Hungary; Nokia Bell Labs; Köztelek utca 6; Budapest; Hungary,2017 20th Conference on Innovations in Clouds; Internet and Networks (ICIN),,2017,,,72,78,,,,10.1109/ICIN.2017.7899252,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7899252,,Business;Routing;Scalability;Cloud computing;Context;Computer architecture;Servers,cloud computing;computer networks;concurrency (computers);routing protocols;software architecture,scalable routing mechanism;stateful microservices;application development;application operation;cloud environment;concurrency handling;design-related operational factors;microservice architecture patterns;software architecture patterns;cloud infrastructure resource reservation application;stateful services;scalability,,,,,,,,,IEEE,IEEE Conferences,
A Microservice-Based MOOL in Acoustics Addressing the Learning-at-Scale Scenario,A. Longo; M. Zappatore,NA; NA,2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),,2017,1,,391,400,,,,10.1109/COMPSAC.2017.23,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029633,Massive Open Online Laboratories;Microservices Architecture;Mobile Learning;Service-oriented System Engineering,Laboratories;Mobile communication;Sensors;Education;Computer architecture;Monitoring;Wireless sensor networks,acoustics;computer aided instruction,MSA;microservices architectures;educational perspectives;technical perspectives;mobile-mediated scientific monitoring activities;L@S based platform;MCS;mobile crowd sensing;technological paradigms;massive open online labs perspective;MOOC;educational practitioners;educational effectiveness;informal learning groups;citizen-science communities;intelligent tutoring systems;gamified learning;massive open online courses;technology-mediated learning environments;online education;learning-at-scale scenario;acoustics;MOOL,,,,,,,,,IEEE,IEEE Conferences,
Decision Guidance Models for Microservice Monitoring,S. Haselböck; R. Weinreich,NA; NA,2017 IEEE International Conference on Software Architecture Workshops (ICSAW),,2017,,,54,61,,,,10.1109/ICSAW.2017.31,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7958456,decision guidance models;microservices;microservice monitoring,Monitoring;Object oriented modeling;Instruments;Stakeholders;Runtime;Data models;Conferences,service-oriented architecture;system monitoring,decision guidance models;microservice monitoring;design space exploration;documentation;microservice architecture;data monitoring;data management;monitoring data processing;distributed systems;process automation domain,,,,,,,,,IEEE,IEEE Conferences,
A Microservices-based IoT Monitoring System to Improve the Safety in Public Building,M. Mongiello; F. Nocera; A. Parchitelli; L. Riccardi; L. Avena; L. Patrono; I. Sergi; P. Rametta,Dipartimento di Ingegneria Elettrica e dell'Informazione; Politecnico di Bari; Bari; Italy; Dipartimento di Ingegneria Elettrica e dell'Informazione; Politecnico di Bari; Bari; Italy; Dipartimento di Ingegneria Elettrica e dell'Informazione; Politecnico di Bari; Bari; Italy; Dipartimento di Ingegneria Elettrica e dell'Informazione; Politecnico di Bari; Bari; Italy; Dipartimento di Ingegneria Elettrica e dell'Informazione; Politecnico di Bari; Bari; Italy; Dipartimento di Ingegneria dell'Innovazione; Università del Salento; Lecce; Italy; Dipartimento di Ingegneria dell'Innovazione; Università del Salento; Lecce; Italy; Dipartimento di Ingegneria dell'Innovazione; Università del Salento; Lecce; Italy,2018 3rd International Conference on Smart and Sustainable Technologies (SpliTech),,2018,,,1,6,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8448334,,Buildings;Monitoring;Containers;Virtualization;Operating systems;Sensors;Hardware,,,,,,,,,,,IEEE,IEEE Conferences,
Cyber-physical microservices: An IoT-based framework for manufacturing systems,K. Thramboulidis; D. C. Vachtsevanou; A. Solanos,Electrical and Computer Engineering; University of Patras; Patras; Greece; Electrical and Computer Engineering; University of Patras; Patras; Greece; Electrical and Computer Engineering; University of Patras; Patras; Greece,2018 IEEE Industrial Cyber-Physical Systems (ICPS),,2018,,,232,239,,,,10.1109/ICPHYS.2018.8387665,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387665,cyber-physical systems;microservices;IoT;service discovery;service composition;UML4IoT;semantic web,Manufacturing systems;Computer architecture;Cyber-physical systems;Industries;Software;Scalability,cloud computing;industrial engineering;Internet of Things;manufacturing industries;manufacturing systems;production engineering computing;service-oriented architecture,cyber-physical microservice;IoT;manufacturing industry;cyber-physical systems;fourth industrial revolution;microservice architecture;manufacturing plant processes;system integration;model-driven engineering;industrial engineer;microservices;manufacturing systems;Internet-of-Things;cloud computing;Industry 4.0;software development;choreography pattern,,,,,,,,,IEEE,IEEE Conferences,
Microservice Based Tool Support for Business Process Modelling,S. Alpers; C. Becker; A. Oberweis; T. Schuster,NA; NA; NA; NA,2015 IEEE 19th International Enterprise Distributed Object Computing Workshop,,2015,,,71,78,,,,10.1109/EDOCW.2015.32,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7310673,microservice;business process;modelling;architecture,Business;Analytical models;Computer architecture;Data models;Computational modeling;Petri nets;Software architecture,business data processing;distributed processing;groupware;software architecture;software tools;user interfaces,microservice based tool support;business process modelling;architectural pattern;software architectures;collaborative distributed scenarios scalability;service development;service operation;modelling editors;collaborative modelling techniques;service components;lightweight user interfaces,,,,,,,,,IEEE,IEEE Conferences,
Security-as-a-Service for Microservices-Based Cloud Applications,Y. Sun; S. Nanda; T. Jaeger,NA; NA; NA,2015 IEEE 7th International Conference on Cloud Computing Technology and Science (CloudCom),,2015,,,50,57,,,,10.1109/CloudCom.2015.93,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7396137,microservices;network monitoring;security,Monitoring;Security;Cloud computing;DVD;Computer architecture;Electronic mail;Complexity theory,application program interfaces;cloud computing;security of data;trusted computing,security-as-a-service;microservice-based cloud applications;API primitive FlowTap;network hypervisor;policy enforcement infrastructure;Bro network monitor,,,,,,,,,IEEE,IEEE Conferences,
Workload-Based Clustering of Coherent Feature Sets in Microservice Architectures,S. Klock; J. M. E. M. V. D. Werf; J. P. Guelen; S. Jansen,NA; NA; NA; NA,2017 IEEE International Conference on Software Architecture (ICSA),,2017,,,11,20,,,,10.1109/ICSA.2017.38,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930194,Microservices;Model Driven Engineering;Refactoring;workload;Performance;Scalability,Computer architecture;Software;Scalability;Monitoring;Integrated circuits;Software measurement,enterprise resource planning;genetic algorithms;pattern clustering;public domain software,coherent feature sets;microservice architectures;workload-based feature clustering;genetic algorithm;MicADO;open-source tool;ERP system,,,,,,,,,IEEE,IEEE Conferences,
Research on the Construction of Regional Credit Bank Platform Based on Microservices,X. Wang; S. Wang; Z. Hao; X. Zhang,NA; NA; NA; NA,2018 10th International Conference on Measuring Technology and Mechatronics Automation (ICMTMA),,2018,,,452,456,,,,10.1109/ICMTMA.2018.00116,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8337427,Regional credit banking platform;Microservices;Container technology;Spring Cloud,Business;Banking;Logic gates;Standards;Security;Cloud computing;Monitoring,bank data processing;cloud computing;information systems;innovation management;mobile computing,credit banking system;microservices;regional credit bank platform;credit banking platform construction;business function module;information platform;service architecture technology;spring cloud microservices development framework,,,,,,,,,IEEE,IEEE Conferences,
Microservices-based architecture for an Open Pervasive Display,M. H. Assidiqi; D. Susanto; A. Alimudin; A. Saputra; D. A. A. Sadewa; S. Kuswadi,Department of Creative Multimedia Technology; Electronic Engineering Polytechnic Institute of Surabaya; Surabaya; Indonesia; Department of Creative Multimedia Technology; Electronic Engineering Polytechnic Institute of Surabaya; Surabaya; Indonesia; Department of Creative Multimedia Technology; Electronic Engineering Polytechnic Institute of Surabaya; Surabaya; Indonesia; Department of Creative Multimedia Technology; Electronic Engineering Polytechnic Institute of Surabaya; Surabaya; Indonesia; Department of Creative Multimedia Technology; Electronic Engineering Polytechnic Institute of Surabaya; Surabaya; Indonesia; Department of Mechanical and Energy Technology; Electronic Engineering Polytechnic Institute of Surabaya; Surabaya; Indonesia,2017 11th International Conference on Information & Communication Technology and System (ICTS),,2017,,,175,180,,,,10.1109/ICTS.2017.8265666,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8265666,,Mobile handsets;Business;Computer architecture;Transforms;Architecture;Servers;Software,advertising;liquid crystal displays,public display;advertising medium;microservices architecture;LCD;Open Pervasive Display,,,,,,,,,IEEE,IEEE Conferences,
NIMBLE collaborative platform: Microservice architectural approach to federated IoT,J. Innerbichler; S. Gonul; V. Damjanovic-Behrendt; B. Mandler; F. Strohmeier,The IoT Group; Salzburg Research GmbH; Salzburg; Austria; Software Research; Development and Consultancy; Ankara; Turkey; The IoT Group; Salzburg Research GmbH; Salzburg; Austria; The Cloud and Distributed Middleware Group; IBM Israel Science and Technology Ltd; Haifa; Israel; The IoT Group; Salzburg Research GmbH; Salzburg; Austria,2017 Global Internet of Things Summit (GIoTS),,2017,,,1,6,,,,10.1109/GIOTS.2017.8016216,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8016216,microservice;cloud;IoT;IoT-based supply chain;platform;Industry 4.0;federation,Collaboration;Supply chains;Monitoring;Buildings;Companies,computerised monitoring;Internet of Things;logistics;production engineering computing;production planning;public domain software;supply chain management,federated IoT;NIMBLE collaborative platform;microservice architectural approach;collaborative Industry 4.0 platform;IoT-based real-time monitoring;manufacturing supply chains;European research project;open source software;wooden home building manufacturing;IoT-based data sharing;product driven logistics planning,,,,,,,,,IEEE,IEEE Conferences,
Smart ITS Sensor for the Transportation Planning Based on IoT Approaches Using Serverless and Microservices Architecture,L. F. Herrera-Quintero; J. C. Vega-Alfonso; K. B. A. Banse; E. Carrillo Zambrano,Telecommunication Engineering; Universidad Piloto de Colombia; Bogota; Colombia; ITS Colombia; Bogota; Colombia; Universidad de Cartagena; Colombia; Administracion; Universidad Autonoma de Bucaramanga; Bucaramanga; Colombia,IEEE Intelligent Transportation Systems Magazine,,2018,10,2,17,27,,,,10.1109/MITS.2018.2806620,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8344774,,Transportation;Planning;Cloud computing;Bluetooth;Urban areas;Computer architecture;Internet of Things;Intelligent sensors;Intelligent transportation systems,Bluetooth;intelligent sensors;intelligent transportation systems;Internet of Things;mobile radio;planning;rapid transit systems;road vehicles;traffic engineering computing;transportation,transportation planning;ITS smart sensor prototype;Intelligent Transportation Systems;BRT system;smart-sensor prototype;smart ITS sensor;IoT approaches;microservices architecture;bus rapid transit systems;Internet of Things;serverless architecture;Bluetooth signals;origin-destiny matrix;traffic management,,,,,,,,,IEEE,IEEE Journals & Magazines,
In Pursuit of Architectural Agility: Experimenting with Microservices,A. Simioni; T. Vardanega,NA; NA,2018 IEEE International Conference on Services Computing (SCC),,2018,,,113,120,,,,10.1109/SCC.2018.00022,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8456408,Microservices;containers;architectural agility;SOA patterns;asynchronous communication;REST API;API gateway;publish-subscribe interaction,Computer architecture;Logic gates;Organizations;Software;Containers;Publish-subscribe,business data processing;information technology;service-oriented architecture;small-to-medium enterprises,modern enterprises;IT infrastructure;business organization;enterprise goals;architecture isomorphism;microservices architecture style;medium-size enterprise;architecture concept;run-time performance;architectural agility;SOA pattern,,,,,,,,,IEEE,IEEE Conferences,
Gru: An Approach to Introduce Decentralized Autonomic Behavior in Microservices Architectures,L. Florio; E. D. Nitto,NA; NA,2016 IEEE International Conference on Autonomic Computing (ICAC),,2016,,,357,362,,,,10.1109/ICAC.2016.25,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7573165,containers;decentralized;Docker;microservices;self-adaptation,Containers;Peer-to-peer computing;Computer architecture;Autonomic systems;Quality of service;Cloud computing,self-adjusting systems;service-oriented architecture;software fault tolerance,Gru;decentralized autonomic behavior;microservices architectures;runtime adaptation;dynamic reconfiguration;self-healing capabilities;decentralized self-adaptation strategies;autonomic capabilities;autonomic intelligence;Docker containers;decentralized autonomic operations,,,,,,,,,IEEE,IEEE Conferences,
The evolution of distributed systems towards microservices architecture,T. Salah; M. Jamal Zemerly; Chan Yeob Yeun; M. Al-Qutayri; Y. Al-Hammadi,Department of Electrical and Computer Engineering; Khalifa University of Science Technology and Research; PO Box 127788 Abu Dhabi; UAE; Department of Electrical and Computer Engineering; Khalifa University of Science Technology and Research; PO Box 127788 Abu Dhabi; UAE; Department of Electrical and Computer Engineering; Khalifa University of Science Technology and Research; PO Box 127788 Abu Dhabi; UAE; Department of Electrical and Computer Engineering; Khalifa University of Science Technology and Research; PO Box 127788 Abu Dhabi; UAE; Department of Electrical and Computer Engineering; Khalifa University of Science Technology and Research; PO Box 127788 Abu Dhabi; UAE,2016 11th International Conference for Internet Technology and Secured Transactions (ICITST),,2016,,,318,325,,,,10.1109/ICITST.2016.7856721,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7856721,Distributed Systems;Microservices;Mobile Agents;Service Oriented Architecture,Computer architecture;Reliability;Semiconductor optical amplifiers;Databases;Lead,distributed processing;service-oriented architecture,service oriented architecture;client-server model;system development;microservices architecture;distributed systems evolution,,,,,,,,,IEEE,IEEE Conferences,
Requirements Reconciliation for Scalable and Secure Microservice (De)composition,M. Ahmadvand; A. Ibrahim,NA; NA,2016 IEEE 24th International Requirements Engineering Conference Workshops (REW),,2016,,,68,73,,,,10.1109/REW.2016.026,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7815609,Requirements Reconciliation;Requirements Engineering;Security;Microservice;Scalability,Scalability;Service-oriented architecture;Business;Conferences;Software systems;Authorization,formal specification;formal verification;security of data;software architecture;systems analysis,requirements reconciliation;microservice decomposition;security requirements;scalability requirements;software release cycle;system-wide requirements;requirements engineering;service oriented architecture;SOA,,,,,,,,,IEEE,IEEE Conferences,
The Architectural Implications of Cloud Microservices,Y. Gan; C. Delimitrou,Cornell University; Ithaca; NY; Cornell University; Ithaca; NY,IEEE Computer Architecture Letters,,2018,17,2,155,158,,,,10.1109/LCA.2018.2839189,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8362750,Super (very large) computers;distributed applications;application studies resulting in better multiple-processor systems,Motion pictures;Servers;Electric breakdown;Videos;Quality of service;Open source software;Scalability,cloud computing;computer centres;power aware computing;quality of service,quality of service;QoS;cloud microservices;open-source microservices;datacenter server design;end-to-end service;streaming service;movie renting;cloud utilization;architectural implications,,,,,,,,,IEEE,IEEE Journals & Magazines,
Design and implementation of a decentralized message bus for microservices,P. Kookarinrat; Y. Temtanapat,Computer Science Department; Thammasat University; Computer Science Department; Thammasat University,2016 13th International Joint Conference on Computer Science and Software Engineering (JCSSE),,2016,,,1,6,,,,10.1109/JCSSE.2016.7748869,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7748869,microservices;message bus;software architecture,Protocols;Complexity theory;Computer architecture;Scalability;Iris;Computer science;Load modeling,application program interfaces;hypermedia;microprocessor chips;software architecture;transport protocols,decentralized message bus;microservices;software architecture;software complexity;adaptive development process;multiple isolated services;public API;messaging;HTTP;RESTful communication style;decentralized service discovery;TCP;CPU,,,,,,,,,IEEE,IEEE Conferences,
Decentralized microservice workflows for coalition environments,C. Simpkin; I. Taylor; G. A. Bent; G. De Mel; S. Rallapalli,Cardiff University; Cardiff University; IBM UK; IBM UK; IBM US,2017 IEEE SmartWorld; Ubiquitous Intelligence & Computing; Advanced & Trusted Computed; Scalable Computing & Communications; Cloud & Big Data Computing; Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI),,2017,,,1,7,,,,10.1109/UIC-ATC.2017.8397424,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8397424,,Task analysis;Mobile ad hoc networks;Distributed databases;Computer architecture;Security;Robustness,learning (artificial intelligence);security of data;Web services;workflow management software,decentralized microservice workflows;coalition environments;workflow systems;distributed data;centralized management entity;fully decentralized workflows;service descriptions;data access;control dependencies;self learning properties;matching services;security policy;transaction cost,,,,,,,,,IEEE,IEEE Conferences,
Microservices: Building blocks to new workflows and virtualization,D. Gallipeau; S. Kudrle,Imagine Communications; Imagine Communications,SMPTE 2017 Annual Technical Conference and Exhibition,,2017,,,1,16,,,,10.5594/M001793,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8281425,Next-generation architecture;microservices;micro services;micro-services;containers;virtualization;COTS;cloud;cloud-native;Docker;SOA;VM;Virtual Machine,,,,,,,,,,,,SMPTE,SMPTE Conferences,
Exploring Research Networks with Data Science: A Data-Driven Microservice Architecture for Synergy Detection,T. Thiele; T. Sommer; S. Stiehm; S. Jeschke; A. Richert,NA; NA; NA; NA; NA,2016 IEEE 4th International Conference on Future Internet of Things and Cloud Workshops (FiCloudW),,2016,,,246,251,,,,10.1109/W-FiCloud.2016.58,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7592732,text mining;topic modeling;classification;latent Dirichlet allocation;neural networks,Data visualization;Text mining;Computer architecture;Neurons;Data models;Context;Classification algorithms,citation analysis;graph theory;pattern classification;scientific information systems;text analysis,data science;co-authorship analysis;citation analysis;scientific publications;scientific cooperation;scientific communities;text body;synergy determination;prototypic architecture description;graph-based visualizations;data-driven microservice architecture;synergy detection,,,,,,,,,IEEE,IEEE Conferences,
Towards the understanding and evolution of monolithic applications as microservices,D. Escobar; D. Cárdenas; R. Amarillo; E. Castro; K. Garcés; C. Parra; R. Casallas,Universidad de Los Andes; School of Engineering; Department of Systems and Computing Engineering; Bogotá; Colombia; Universidad de Los Andes; School of Engineering; Department of Systems and Computing Engineering; Bogotá; Colombia; Universidad de Los Andes; School of Engineering; Department of Systems and Computing Engineering; Bogotá; Colombia; Universidad de Los Andes; School of Engineering; Department of Systems and Computing Engineering; Bogotá; Colombia; Universidad de Los Andes; School of Engineering; Department of Systems and Computing Engineering; Bogotá; Colombia; Universidad de Los Andes; School of Engineering; Department of Systems and Computing Engineering; Bogotá; Colombia; Universidad de Los Andes; School of Engineering; Department of Systems and Computing Engineering; Bogotá; Colombia,2016 XLII Latin American Computing Conference (CLEI),,2016,,,1,11,,,,10.1109/CLEI.2016.7833410,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7833410,Software Architecture;Software Reengineering;Modernization;Model-Driven Development;Microservices,Java;Business;Clustering algorithms;Face;Data visualization;Data models;Computer architecture,Java;software development management;software maintenance;software process improvement;team working,monolithic applications;microservices;software development teams;software maintenance;software application evolution;legacy application modernization;model-centered process;business layer;data layer;modularization;JEE application;LoC;automated modernization;Java Enterprise Edition,,,,,,,,,IEEE,IEEE Conferences,
Formal Analysis of Load Balancing in Microservices with Scenario Calculus,H. Zhu; H. Wang; I. Bayley,NA; NA; NA,2018 IEEE 11th International Conference on Cloud Computing (CLOUD),,2018,,,908,911,,,,10.1109/CLOUD.2018.00133,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8457901,cloud computing;microservices;load balance;scheduling policies;scalability;scenario calculus;service capability,Throughput;Load modeling;Calculus;Job shop scheduling;Load management;Scalability;Processor scheduling,calculus;cloud computing;formal logic;optimisation;queueing theory;resource allocation;scheduling;set theory;virtual machines,performance optimisation;load balancing;microservices ecosystem;service capability;slowest microservice instance;elastic scalability;formal analysis;scenario calculus;workloads;virtual machines;elastic round robin scheduling;shortest waiting queue scheduling,,,,,,,,,IEEE,IEEE Conferences,
Exploiting interoperable microservices in web objects enabled Internet of Things,M. A. Jarwar; S. Ali; M. G. Kibria; S. Kumar; I. Chong,Department of Information and Communications Engineering; Hankuk University of Foreign Studies; Yongin-si; Korea; Department of Information and Communications Engineering; Hankuk University of Foreign Studies; Yongin-si; Korea; Department of Information and Communications Engineering; Hankuk University of Foreign Studies; Yongin-si; Korea; Department of Information and Communications Engineering; Hankuk University of Foreign Studies; Yongin-si; Korea; Department of Information and Communications Engineering; Hankuk University of Foreign Studies; Yongin-si; Korea,2017 Ninth International Conference on Ubiquitous and Future Networks (ICUFN),,2017,,,49,54,,,,10.1109/ICUFN.2017.7993746,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7993746,Web of Objects;Interoperability;Microservices;Internet of Things;Interoperable Architecture;Composite virtual object;virtual object,Interoperability;Semantics;Internet of Things;Sensors;Semantic Web;Virtualization;Service-oriented architecture,home automation;Internet of Things;open systems,interoperable microservices;Internet of Things;smart home user;fourth industrial revolution;machine understanding;IoT services;Web of Objects;service modularity;composite virtual objects;cross domain IoT applications;WoO enabled interoperable microservices architecture,,,,,,,,,IEEE,IEEE Conferences,
